id,adresse,quartier,type_bien,surface,prix,prix_m2,annee,etat,date_vente
265,Chemin du Pré-Langard 4,Cologny,Maison individuelle,3663.0,19750000,5392,2022,,2022
266,Chemin de Ruth 80,Cologny,Maison individuelle,2537.0,20000000,7883,2024,,2024
267,Chemin de la Perrière 9,Cologny,Maison individuelle,3213.0,20000000,6225,2021,,2021
268,"Chemin des Ecureuils-Doret 3, 11",Collonge-Bellerive,Maison individuelle,3874.0,20100000,5188,2022,,2022
269,Chemin Boissier 9a,Cologny,Maison individuelle,2436.0,20500000,8415,2022,,2022
270,Chemin Boissier 9a,Cologny,Maison individuelle,2436.0,21820000,8957,2025,,2025
271,"Chemin des Ecureuils-Doret 3, 11",Collonge-Bellerive,Maison individuelle,3874.0,23300000,6014,2024,,2024
272,Chemin du Nant-d'Argent 51bis,Cologny,Maison individuelle,2028.0,24000000,11834,2025,,2025
273,Chemin des Pêcheurs 13,Cologny,Maison individuelle,3011.0,24350000,8087,2022,,2022
274,Chemin de la Gabiule 31,Collonge-Bellerive,Maison individuelle,2648.0,24500000,9252,2025,,2025
275,Chemin de Ruth 31,Cologny,Maison individuelle,3280.0,25000000,7622,2025,,2025
276,Chemin du Milieu 17,Collonge-Bellerive,Maison individuelle,4015.0,26600000,6625,2023,,2023
277,Chemin Boissier 23,Cologny,Maison individuelle,2714.0,26693280,9835,2025,,2025
278,Chemin des Marèches 15,Collonge-Bellerive,Maison individuelle,3849.0,30423000,7904,2022,,2022
279,Chemin de Ruth 75,Cologny,Maison individuelle,5118.0,38361790,7495,2023,,2023
280,Route de la-Capite 55,Cologny,Maison individuelle,4829.0,45000000,9319,2023,,2023
281,Chemin de Ruth 53,Cologny,Maison individuelle,5430.0,50000000,9208,2023,,2023
282,Route de la-Capite 41,Cologny,Maison individuelle,4418.0,60500000,13694,2021,,2021
283,Rue Giovanni-Gambini 3,Eaux-Vives,Appartement,195.8,2595000,13253,2026,,2026
284,"Route de Florissant 118, 120, 122",Florissant,Appartement,231.0,3020000,13072,2026,,2026
285,Rue Robert-de-Traz 14,Eaux-Vives,Appartement,224.7,2160000,9615,2026,,2026
286,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,145.6,1900000,13052,2026,,2026
287,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,277.1,2750000,9926,2026,,2026
288,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,130.5,1750000,13409,2026,,2026
289,"Rue Giovanni-Gambini 1, 3",Eaux-Vives,Appartement,254.6,3650000,14336,2026,,2026
290,"Route de Florissant 89a, 89b",Florissant,Appartement,85.1,1900000,22316,2026,,2026
291,Chemin Rieu 8,Eaux-Vives,Maison individuelle,267.8,3440000,12845,2026,,2026
292,"Route de Florissant 89a, 89b",Florissant,Appartement,192.6,2975000,15449,2026,,2026
293,Chemin Doctoresse-Champendal 4,Eaux-Vives,Appartement,355.3,4250000,11963,2026,,2026
294,Avenue Eugène-Pittard 11,Eaux-Vives,Appartement,172.7,2625000,15202,2026,,2026
295,Avenue Eugène-Pittard 5,Eaux-Vives,Appartement,110.4,1875000,16978,2026,,2026
296,Rue Robert-de-Traz 6,Eaux-Vives,Appartement,319.7,3575000,11182,2026,,2026
297,Route de Florissant 112,Florissant,Appartement,233.2,2725000,11685,2026,,2026
298,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,322.0,3500000,10870,2026,,2026
299,Chemin des Pins 6,Eaux-Vives,Appartement,234.5,1750585,7465,2026,,2026
300,Route de Florissant 85,Florissant,Appartement,124.7,2600000,20843,2026,,2026
301,Route de Florissant 62,Florissant,Appartement,99.4,1490000,14991,2026,,2026
302,Rue Pedro-Meylan 4,Eaux-Vives,Appartement,66.7,730000,10948,2026,,2026
303,"Route de Florissant 89a, 89b",Florissant,Appartement,87.3,2170000,24863,2026,,2026
304,Route de Florissant 95,Florissant,Appartement,183.2,2000000,10919,2026,,2026
305,Route de Florissant 62,Florissant,Appartement,99.4,1585000,15947,2026,,2026
306,"Avenue Eugène-Pittard 13, 15",Eaux-Vives,Appartement,232.1,3400000,14648,2026,,2026
307,Rue Robert-de-Traz 8,Eaux-Vives,Appartement,230.8,2400000,10396,2026,,2026
308,Rue Robert-de-Traz 8,Eaux-Vives,Appartement,230.8,2170000,9400,2026,,2026
309,Route de Florissant 86c,Florissant,Appartement,47.1,440000,9346,2026,,2026
